geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
gin,Guinea,2452.55,2526.7,2566.66,2616.8,2660.03,2641.59,2661.07,2696.2,2754.59,2813.18,2859.83,2905.24,2913.22
gmb,Gambia,2663.77,2636.14,2619.61,2582.98,2533.37,2544.34,2519.44,2526.66,2441.11,2474.44,2440.07,2432.55,2452.26
gnb,Guinea-Bissau,2266.18,2233.85,2222.28,2191.57,2203.85,2201.57,2229.07,2258.81,2274.67,2276.31,2297.35,2292.44,2291.09
grc,Greece,3531.35,3532.26,3517.87,3523.92,3445.18,3407.24,3352.95,3391.16,3393.38,3420.83,3370.65,3393.16,3398.04
grd,Grenada,2368.28,2370.86,2366.72,2343.85,2371.81,2409.63,2484.13,2473.41,2535.5,2502.23,2543.55,2616.43,2612.97
gtm,Guatemala,2474.04,2483.81,2483.64,2478.52,2482.91,2522.03,2560.93,2604.84,2587.4,2635.88,2712.3,2743.78,2791.06
guy,Guyana,2609.92,2642.4,2741.99,2731.55,2827.48,3016.62,3025.26,3078.53,3130.65,3107.4,3151.32,3200,3253.19
hnd,Honduras,2574.19,2599.62,2593.95,2589.94,2541.53,2562.6,2601.94,2603.29,2625.59,2633.16,2617.62,2664.33,2654.33
hrv,Croatia,2949.8,2979.6,2980.73,3056.59,2973.57,3042.69,3144.32,3089.53,3144.33,3182.83,3219.02,3270.94,3316.79
hti,Haiti,2152.1,2145.64,2126.15,2156,2214.38,2216.28,2166.6,2174.6,2129.6,2113.62,2098.92,2075.26,1977.9
hun,Hungary,3041.05,3054.76,3000.02,3023.16,3070.05,3175.38,3199.58,3235.39,3294.04,3309.29,3368.25,3419.09,3430.12
idn,Indonesia,2598.48,2654.92,2699.33,2738.73,2815.37,2793.19,2888.3,2962.31,2918.01,2906.66,2911.33,2900.45,2829.9
ind,India,2362.97,2398.06,2393.28,2428.82,2458.9,2432.03,2482.74,2523.95,2536.25,2538.55,2552.06,2562.06,2588.62
irl,Ireland,3584.32,3627.44,3618.1,3634.41,3701.92,3775.6,3820.71,3907.97,3938.61,3908.03,3887.85,3891.4,3910.78
irn,Iran,2943.54,2852.91,2949.35,2982.41,2991.14,2942.49,2943.68,2876.34,2845.08,2917.49,2919.11,2883.11,2878.56
irq,Iraq,2596.4,2600.63,2561.53,2581.19,2577.76,2568.4,2588.26,2605.36,2636,2661.05,2675,2668.42,2685.2
isl,Iceland,3314.93,3307.15,3359.69,3367.57,3404.66,3477.45,3585.18,3642.68,3655.7,3690.71,3668.32,3675.14,3676.9
isr,Israel,3607.52,3610.54,3612.56,3622.27,3684.57,3681.34,3728.01,3762.3,3701.31,3776.11,3807.87,3860.68,3922.66
ita,Italy,3675,3667.75,3660.4,3658.68,3534.5,3541.35,3543.09,3553.59,3551.36,3648.21,3687.72,3720.29,3703.49
jam,Jamaica,2761.6,2779.21,2773.67,2815.34,2800.58,2830.69,2779.63,2858.07,2889.37,2916.1,2840.24,2871.12,2928.06
jor,Jordan,2844.51,2800.76,2830.64,2814.52,2829.79,2806.51,2765.83,2724.23,2641.69,2587.44,2581.23,2533.92,2557.24
jpn,Japan,2655.04,2663.25,2712.35,2715.37,2700.63,2683.74,2682.46,2701.09,2671.77,2732.05,2673.95,2674.78,2692.62
kaz,Kazakhstan,3122.12,3170.33,3166.28,3195.78,3171.06,3154.69,3165.23,3251.54,3350.22,3370.59,3382.8,3411.62,3439.57
ken,Kenya,2182.44,2191.69,2216.26,2243.14,2241.02,2247.47,2185.82,2204.13,2237.91,2301.19,2262.26,2171.45,2099.58
kgz,Kyrgyz Republic,2674.81,2714.05,2737.12,2733.15,2717.68,2722.95,2678.4,2729.31,2765.62,2762.85,2733.2,2712.05,2761.34
khm,Cambodia,2545.1,2637.36,2630.06,2620.17,2635.62,2677.48,2690.31,2716.37,2716.51,2762.57,2775.93,2757,2724.26
kir,Kiribati,2958.75,3011.12,3039.85,3035.55,3077.23,3113.01,3097.33,3067.15,3092.5,3125.3,3083.49,3110.79,3095.73
kna,St. Kitts and Nevis,2624.29,2578.96,2635.7,2666.58,2678.09,2746.13,2832.57,2911.65,2871.08,2831.41,2882.12,2865.41,2866.74
kor,South Korea,3327.59,3332.42,3287.81,3293.79,3327.28,3325.35,3325.56,3377.63,3386.74,3381.91,3377.95,3412.85,3441.95
kwt,Kuwait,3548.14,3572.13,3491.34,3452.96,3462.85,3475.01,3417.07,3445.31,3432.17,3469.55,3481.72,3505.41,3507.92
lao,Lao,2891.98,2976.55,3002.67,3074.08,3127.14,3183.13,3159.06,3129.18,3152.76,3179.67,3162.2,3127.61,3168.75
lbn,Lebanon,3090.02,3045,3049.82,3001.31,2966.47,2923.91,2928.96,2925.82,2924.34,2888.64,2890.2,2906.93,2926.45
lbr,Liberia,2133.25,2115.96,2121.92,2094.53,2131.34,2119.01,2155.66,2177.08,2142.81,2130.18,2109.66,2100.88,2103.35
lby,Libya,3088.27,3070.96,3117.79,3147.83,3101.48,3131.15,3128.91,3127.84,3144.67,3180.1,3139.19,3198.33,3195
lca,St. Lucia,2594.26,2619.33,2597.63,2566.31,2608.78,2601.72,2619.34,2651.94,2651.47,2669.39,2718.75,2717.45,2720.6
lka,Sri Lanka,2488.5,2466.36,2531.13,2552.44,2593.54,2690.89,2757.03,2755.44,2772.56,2763.32,2838.18,2860.14,2802
lso,Lesotho,2498.4,2512.38,2469.52,2325.41,2195.26,2072.48,2086.32,2162.7,2182.03,1984.39,1799.76,1800.19,1805.54
